TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Number of classes: 657
Train batches: 3944
Val batches: 695

===== Epoch 1/100 (LR: 2.00e-06) =====
WS-DAN Active: False (start_epoch=5)
  Train Batch [1650/3944] | Loss: 5.9141 | Top1: 0.1729 | Top5: 0.4397
  Train Batch [1675/3944] | Loss: 5.9064 | Top1: 0.1727 | Top5: 0.4409
  Train Batch [1700/3944] | Loss: 5.8986 | Top1: 0.1725 | Top5: 0.4417
  Train Batch [1725/3944] | Loss: 5.8904 | Top1: 0.1736 | Top5: 0.4429
  Train Batch [1750/3944] | Loss: 5.8823 | Top1: 0.1741 | Top5: 0.4442
  Train Batch [1775/3944] | Loss: 5.8748 | Top1: 0.1741 | Top5: 0.4448
  Train Batch [1800/3944] | Loss: 5.8669 | Top1: 0.1746 | Top5: 0.4456
  Train Batch [1825/3944] | Loss: 5.8591 | Top1: 0.1750 | Top5: 0.4468
  Train Batch [1850/3944] | Loss: 5.8512 | Top1: 0.1754 | Top5: 0.4476
  Train Batch [1875/3944] | Loss: 5.8431 | Top1: 0.1752 | Top5: 0.4491
  Train Batch [1900/3944] | Loss: 5.8357 | Top1: 0.1757 | Top5: 0.4503
  Train Batch [1925/3944] | Loss: 5.8280 | Top1: 0.1760 | Top5: 0.4513
  Train Batch [1950/3944] | Loss: 5.8201 | Top1: 0.1762 | Top5: 0.4521
  Train Batch [1975/3944] | Loss: 5.8123 | Top1: 0.1766 | Top5: 0.4532
  Train Batch [2000/3944] | Loss: 5.8041 | Top1: 0.1770 | Top5: 0.4546
  Train Batch [2025/3944] | Loss: 5.7963 | Top1: 0.1776 | Top5: 0.4559
  Train Batch [2050/3944] | Loss: 5.7889 | Top1: 0.1781 | Top5: 0.4571
  Train Batch [2075/3944] | Loss: 5.7810 | Top1: 0.1784 | Top5: 0.4583
  Train Batch [2100/3944] | Loss: 5.7735 | Top1: 0.1786 | Top5: 0.4597
  Train Batch [2125/3944] | Loss: 5.7659 | Top1: 0.1794 | Top5: 0.4609
  Train Batch [2150/3944] | Loss: 5.7582 | Top1: 0.1795 | Top5: 0.4624
  Train Batch [2175/3944] | Loss: 5.7505 | Top1: 0.1798 | Top5: 0.4638
  Train Batch [2200/3944] | Loss: 5.7433 | Top1: 0.1802 | Top5: 0.4647
  Train Batch [2225/3944] | Loss: 5.7361 | Top1: 0.1807 | Top5: 0.4656
  Train Batch [2250/3944] | Loss: 5.7287 | Top1: 0.1811 | Top5: 0.4663
  Train Batch [2275/3944] | Loss: 5.7210 | Top1: 0.1816 | Top5: 0.4669
  Train Batch [2300/3944] | Loss: 5.7137 | Top1: 0.1823 | Top5: 0.4681
  Train Batch [2325/3944] | Loss: 5.7064 | Top1: 0.1824 | Top5: 0.4689
  Train Batch [2350/3944] | Loss: 5.6987 | Top1: 0.1828 | Top5: 0.4702
  Train Batch [2375/3944] | Loss: 5.6914 | Top1: 0.1830 | Top5: 0.4711
  Train Batch [2400/3944] | Loss: 5.6840 | Top1: 0.1831 | Top5: 0.4717
  Train Batch [2425/3944] | Loss: 5.6763 | Top1: 0.1836 | Top5: 0.4729
  Train Batch [2450/3944] | Loss: 5.6692 | Top1: 0.1839 | Top5: 0.4741
  Train Batch [2475/3944] | Loss: 5.6618 | Top1: 0.1844 | Top5: 0.4750
  Train Batch [2500/3944] | Loss: 5.6549 | Top1: 0.1845 | Top5: 0.4759
  Train Batch [2525/3944] | Loss: 5.6472 | Top1: 0.1850 | Top5: 0.4771
  Train Batch [2550/3944] | Loss: 5.6402 | Top1: 0.1854 | Top5: 0.4780
  Train Batch [2575/3944] | Loss: 5.6331 | Top1: 0.1860 | Top5: 0.4791
  Train Batch [2600/3944] | Loss: 5.6263 | Top1: 0.1865 | Top5: 0.4801
  Train Batch [2625/3944] | Loss: 5.6192 | Top1: 0.1870 | Top5: 0.4810
  Train Batch [2650/3944] | Loss: 5.6125 | Top1: 0.1879 | Top5: 0.4819
  Train Batch [2675/3944] | Loss: 5.6053 | Top1: 0.1887 | Top5: 0.4832
  Train Batch [2700/3944] | Loss: 5.5983 | Top1: 0.1889 | Top5: 0.4840
  Train Batch [2725/3944] | Loss: 5.5912 | Top1: 0.1893 | Top5: 0.4852
  Train Batch [2750/3944] | Loss: 5.5839 | Top1: 0.1902 | Top5: 0.4865
  Train Batch [2775/3944] | Loss: 5.5771 | Top1: 0.1907 | Top5: 0.4870
  Train Batch [2800/3944] | Loss: 5.5699 | Top1: 0.1908 | Top5: 0.4880
  Train Batch [2825/3944] | Loss: 5.5626 | Top1: 0.1913 | Top5: 0.4892
  Train Batch [2850/3944] | Loss: 5.5558 | Top1: 0.1916 | Top5: 0.4900
  Train Batch [2875/3944] | Loss: 5.5490 | Top1: 0.1918 | Top5: 0.4907
  Train Batch [2900/3944] | Loss: 5.5419 | Top1: 0.1925 | Top5: 0.4919
  Train Batch [2925/3944] | Loss: 5.5347 | Top1: 0.1930 | Top5: 0.4928
  Train Batch [2950/3944] | Loss: 5.5277 | Top1: 0.1933 | Top5: 0.4940
  Train Batch [2975/3944] | Loss: 5.5213 | Top1: 0.1938 | Top5: 0.4945
  Train Batch [3000/3944] | Loss: 5.5143 | Top1: 0.1943 | Top5: 0.4953
  Train Batch [3025/3944] | Loss: 5.5070 | Top1: 0.1950 | Top5: 0.4964
  Train Batch [3050/3944] | Loss: 5.5002 | Top1: 0.1955 | Top5: 0.4978
  Train Batch [3075/3944] | Loss: 5.4928 | Top1: 0.1960 | Top5: 0.4991
  Train Batch [3100/3944] | Loss: 5.4858 | Top1: 0.1964 | Top5: 0.5000
  Train Batch [3125/3944] | Loss: 5.4792 | Top1: 0.1968 | Top5: 0.5008
  Train Batch [3150/3944] | Loss: 5.4722 | Top1: 0.1976 | Top5: 0.5019
  Train Batch [3175/3944] | Loss: 5.4649 | Top1: 0.1979 | Top5: 0.5029
