Using device: mps
Number of classes: 657
Train batches: 1827
Val batches: 203

===== Epoch 1/20 =====
===== Epoch 6/20 =====
  Train Batch [50/1827] | Loss: 0.5441 | Top1: 0.8575 | Top5: 0.9775
  Train Batch [100/1827] | Loss: 0.5353 | Top1: 0.8553 | Top5: 0.9775
  Train Batch [150/1827] | Loss: 0.5402 | Top1: 0.8515 | Top5: 0.9762
  Train Batch [200/1827] | Loss: 0.5335 | Top1: 0.8542 | Top5: 0.9761
  Train Batch [250/1827] | Loss: 0.5364 | Top1: 0.8550 | Top5: 0.9759
  Train Batch [300/1827] | Loss: 0.5411 | Top1: 0.8518 | Top5: 0.9757
  Train Batch [350/1827] | Loss: 0.5442 | Top1: 0.8505 | Top5: 0.9761
  Train Batch [400/1827] | Loss: 0.5452 | Top1: 0.8498 | Top5: 0.9754
  Train Batch [450/1827] | Loss: 0.5479 | Top1: 0.8485 | Top5: 0.9750
  Train Batch [500/1827] | Loss: 0.5565 | Top1: 0.8465 | Top5: 0.9736
  Train Batch [550/1827] | Loss: 0.5626 | Top1: 0.8452 | Top5: 0.9735
  Train Batch [600/1827] | Loss: 0.5666 | Top1: 0.8433 | Top5: 0.9736
  Train Batch [650/1827] | Loss: 0.5744 | Top1: 0.8411 | Top5: 0.9731
  Train Batch [700/1827] | Loss: 0.5801 | Top1: 0.8397 | Top5: 0.9724
  Train Batch [750/1827] | Loss: 0.5808 | Top1: 0.8393 | Top5: 0.9722
  Train Batch [800/1827] | Loss: 0.5848 | Top1: 0.8373 | Top5: 0.9721
  Train Batch [850/1827] | Loss: 0.5873 | Top1: 0.8363 | Top5: 0.9719
  Train Batch [900/1827] | Loss: 0.5924 | Top1: 0.8338 | Top5: 0.9717
  Train Batch [950/1827] | Loss: 0.5940 | Top1: 0.8326 | Top5: 0.9717
  Train Batch [1000/1827] | Loss: 0.5953 | Top1: 0.8324 | Top5: 0.9715
  Train Batch [1050/1827] | Loss: 0.5974 | Top1: 0.8322 | Top5: 0.9711
  Train Batch [1100/1827] | Loss: 0.6012 | Top1: 0.8304 | Top5: 0.9707
  Train Batch [1150/1827] | Loss: 0.6021 | Top1: 0.8301 | Top5: 0.9706
  Train Batch [1200/1827] | Loss: 0.6057 | Top1: 0.8288 | Top5: 0.9703
  Train Batch [1250/1827] | Loss: 0.6085 | Top1: 0.8282 | Top5: 0.9700
  Train Batch [1300/1827] | Loss: 0.6114 | Top1: 0.8272 | Top5: 0.9699
  Train Batch [1350/1827] | Loss: 0.6133 | Top1: 0.8265 | Top5: 0.9699
  Train Batch [1400/1827] | Loss: 0.6163 | Top1: 0.8254 | Top5: 0.9697
  Train Batch [1450/1827] | Loss: 0.6216 | Top1: 0.8238 | Top5: 0.9694
  Train Batch [1500/1827] | Loss: 0.6257 | Top1: 0.8224 | Top5: 0.9690
  Train Batch [1550/1827] | Loss: 0.6280 | Top1: 0.8219 | Top5: 0.9689
  Train Batch [1600/1827] | Loss: 0.6299 | Top1: 0.8214 | Top5: 0.9687
  Train Batch [1650/1827] | Loss: 0.6330 | Top1: 0.8207 | Top5: 0.9681
  Train Batch [1700/1827] | Loss: 0.6348 | Top1: 0.8202 | Top5: 0.9678
  Train Batch [1750/1827] | Loss: 0.6364 | Top1: 0.8197 | Top5: 0.9676
  Train Batch [1800/1827] | Loss: 0.6392 | Top1: 0.8186 | Top5: 0.9675
  Train Batch [1827/1827] | Loss: 0.6399 | Top1: 0.8184 | Top5: 0.9674
  Val Batch [50/203] | Loss: 1.6890 | Top1: 0.6319 | Top5: 0.8638
  Val Batch [100/203] | Loss: 1.6978 | Top1: 0.6362 | Top5: 0.8616
  Val Batch [150/203] | Loss: 1.7248 | Top1: 0.6300 | Top5: 0.8571
  Val Batch [200/203] | Loss: 1.7369 | Top1: 0.6267 | Top5: 0.8539
  Val Batch [203/203] | Loss: 1.7366 | Top1: 0.6272 | Top5: 0.8537
Epoch [6/20] | Train Loss: 0.6399 | Train Top1: 0.8184 | Train Top5: 0.9674 | Val Loss: 1.7366 | Val Top1: 0.6272 | Val Top5: 0.8537

===== Epoch 7/20 =====
  Train Batch [50/1827] | Loss: 0.4522 | Top1: 0.8800 | Top5: 0.9856
  Train Batch [100/1827] | Loss: 0.4292 | Top1: 0.8816 | Top5: 0.9850
  Train Batch [150/1827] | Loss: 0.4205 | Top1: 0.8835 | Top5: 0.9867
  Train Batch [200/1827] | Loss: 0.4333 | Top1: 0.8834 | Top5: 0.9850
  Train Batch [250/1827] | Loss: 0.4376 | Top1: 0.8806 | Top5: 0.9850
  Train Batch [300/1827] | Loss: 0.4399 | Top1: 0.8789 | Top5: 0.9849
  Train Batch [350/1827] | Loss: 0.4450 | Top1: 0.8772 | Top5: 0.9837
  Train Batch [400/1827] | Loss: 0.4461 | Top1: 0.8772 | Top5: 0.9840
  Train Batch [450/1827] | Loss: 0.4442 | Top1: 0.8772 | Top5: 0.9839
  Train Batch [500/1827] | Loss: 0.4532 | Top1: 0.8742 | Top5: 0.9833
  Train Batch [550/1827] | Loss: 0.4573 | Top1: 0.8729 | Top5: 0.9829
  Train Batch [600/1827] | Loss: 0.4574 | Top1: 0.8719 | Top5: 0.9829
  Train Batch [650/1827] | Loss: 0.4590 | Top1: 0.8710 | Top5: 0.9827
  Train Batch [700/1827] | Loss: 0.4610 | Top1: 0.8703 | Top5: 0.9825
  Train Batch [750/1827] | Loss: 0.4642 | Top1: 0.8691 | Top5: 0.9824
  Train Batch [800/1827] | Loss: 0.4669 | Top1: 0.8676 | Top5: 0.9823
  Train Batch [850/1827] | Loss: 0.4669 | Top1: 0.8674 | Top5: 0.9823
  Train Batch [900/1827] | Loss: 0.4699 | Top1: 0.8665 | Top5: 0.9819
  Train Batch [950/1827] | Loss: 0.4716 | Top1: 0.8660 | Top5: 0.9820
  Train Batch [1000/1827] | Loss: 0.4755 | Top1: 0.8647 | Top5: 0.9817
  Train Batch [1050/1827] | Loss: 0.4784 | Top1: 0.8636 | Top5: 0.9816
  Train Batch [1100/1827] | Loss: 0.4838 | Top1: 0.8621 | Top5: 0.9811
  Train Batch [1150/1827] | Loss: 0.4866 | Top1: 0.8610 | Top5: 0.9810
  Train Batch [1200/1827] | Loss: 0.4885 | Top1: 0.8604 | Top5: 0.9810
  Train Batch [1250/1827] | Loss: 0.4899 | Top1: 0.8599 | Top5: 0.9808
  Train Batch [1300/1827] | Loss: 0.4946 | Top1: 0.8585 | Top5: 0.9806
  Train Batch [1350/1827] | Loss: 0.4976 | Top1: 0.8579 | Top5: 0.9802
  Train Batch [1400/1827] | Loss: 0.4996 | Top1: 0.8572 | Top5: 0.9801
  Train Batch [1450/1827] | Loss: 0.5009 | Top1: 0.8568 | Top5: 0.9801
  Train Batch [1500/1827] | Loss: 0.5031 | Top1: 0.8563 | Top5: 0.9799
  Train Batch [1550/1827] | Loss: 0.5044 | Top1: 0.8558 | Top5: 0.9798
  Train Batch [1600/1827] | Loss: 0.5062 | Top1: 0.8553 | Top5: 0.9797
  Train Batch [1650/1827] | Loss: 0.5078 | Top1: 0.8549 | Top5: 0.9793
  Train Batch [1700/1827] | Loss: 0.5103 | Top1: 0.8540 | Top5: 0.9792
  Train Batch [1750/1827] | Loss: 0.5141 | Top1: 0.8534 | Top5: 0.9788
  Train Batch [1800/1827] | Loss: 0.5158 | Top1: 0.8529 | Top5: 0.9787
  Train Batch [1827/1827] | Loss: 0.5171 | Top1: 0.8522 | Top5: 0.9786
  Val Batch [50/203] | Loss: 1.7864 | Top1: 0.6138 | Top5: 0.8500
  Val Batch [100/203] | Loss: 1.7608 | Top1: 0.6300 | Top5: 0.8475
